Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Tuesday, 11 June 2024, 16:22:33
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00002\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
213	330.000	-0.026100	0.009970	0.000776
214	332.000	-0.010648	0.011340	0.001129
215	334.000	-0.011389	0.014899	0.000826
216	336.000	-0.011356	0.011485	0.000733
217	338.000	-0.015293	0.012175	0.000917
218	340.000	-0.011186	0.012197	0.000921
219	342.000	-0.011201	0.010268	0.000812
220	344.000	-0.010437	0.010503	0.000845
221	346.000	-0.009976	0.011851	0.000955
222	348.000	-0.012459	0.012892	0.000940
223	350.000	-0.011151	0.010481	0.000874
224	352.000	-0.009956	0.010763	0.000980
225	354.000	-0.012154	0.015089	0.000933
226	356.000	-0.014494	0.009986	0.000831
227	358.000	-0.011630	0.012776	0.000851
228	360.000	-0.010046	0.011391	0.000984
229	362.000	-0.009825	0.012673	0.000926
230	364.000	-0.010917	0.016957	0.000810
231	366.000	-0.009671	0.012008	0.000952
232	368.000	-0.011976	0.011416	0.001037
233	370.000	-0.011511	0.012251	0.000795
234	372.000	-0.011571	0.012984	0.000865
235	374.000	-0.012294	0.010445	0.000867
236	376.000	-0.011766	0.011166	0.000856
237	378.000	-0.012615	0.010873	0.000950
238	380.000	-0.009746	0.011097	0.000991
239	382.000	-0.010573	0.011118	0.000906
240	384.000	-0.011654	0.013320	0.000994
241	386.000	-0.010809	0.010923	0.000940
242	388.000	-0.009486	0.013424	0.000927
243	390.000	-0.018903	0.011064	0.000584
244	392.000	-0.010667	0.024322	0.000903
245	394.000	-0.012980	0.011889	0.000912
246	396.000	-0.010774	0.011028	0.000933
247	398.000	-0.010121	0.011634	0.000855
248	400.000	-0.010226	0.009799	0.000909
249	402.000	-0.009490	0.012344	0.000997
250	404.000	-0.010704	0.012522	0.000797
251	406.000	-0.010730	0.011432	0.000827
252	408.000	-0.012590	0.014092	0.000958
253	410.000	-0.010992	0.013327	0.000985
254	412.000	-0.012110	0.010581	0.000837
255	414.000	-0.011339	0.015807	0.001052
256	416.000	-0.010189	0.010686	0.000705
257	418.000	-0.014144	0.014064	0.000952
258	420.000	-0.009995	0.011016	0.000894
259	422.000	-0.011172	0.012435	0.001060
260	424.000	-0.009867	0.011124	0.000756
261	426.000	-0.011229	0.013522	0.000858
262	428.000	-0.011576	0.010324	0.000849
263	430.000	-0.011079	0.011983	0.000960
264	432.000	-0.010359	0.011528	0.000965
265	434.000	-0.008970	0.010543	0.000854
266	436.000	-0.010264	0.013422	0.000965
267	438.000	-0.015230	0.020112	0.001047
268	440.000	-0.010512	0.011366	0.000985
269	442.000	-0.011871	0.012062	0.000971
270	444.000	-0.009468	0.012375	0.000795
271	446.000	-0.009635	0.010084	0.000768
272	448.000	-0.011244	0.010322	0.000824
273	450.000	-0.011289	0.011846	0.000893
274	452.000	-0.013436	0.012027	0.000722
275	454.000	-0.010329	0.014502	0.000865
276	456.000	-0.011426	0.011149	0.000810
277	458.000	-0.010734	0.010324	0.000922
278	460.000	-0.012399	0.009690	0.000877
279	462.000	-0.011040	0.012912	0.000965
280	464.000	-0.011268	0.011622	0.000873
281	466.000	-0.010618	0.012514	0.000882
282	468.000	-0.010339	0.018294	0.000828
283	470.000	-0.009488	0.010472	0.000877
284	472.000	-0.011310	0.012144	0.000932
285	474.000	-0.010472	0.012457	0.001052
286	476.000	-0.011751	0.011342	0.000809
287	478.000	-0.047449	0.009302	0.000741
288	480.000	-0.024301	0.011881	0.000850
289	482.000	-0.010506	0.011189	0.000721
290	484.000	-0.010166	0.023084	0.001044
291	486.000	-0.011094	0.010782	0.000655
292	488.000	-0.011826	0.010955	0.000844
293	490.000	-0.011413	0.013566	0.001019
294	492.000	-0.010361	0.011783	0.000858
295	494.000	-0.010782	0.010055	0.000811
296	496.000	-0.009428	0.013434	0.000937
297	498.000	-0.010949	0.012121	0.000825
298	500.000	-0.012450	0.012932	0.000944
