Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 15:31:46
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00004\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at 0 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	1.999969

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      2 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
230	364.000	-0.001882	0.001250	-0.000394
231	366.000	-0.001754	0.001018	-0.000384
232	368.000	-0.001758	0.001125	-0.000370
233	370.000	-0.001951	0.000927	-0.000386
234	372.000	-0.003124	0.001312	-0.000365
235	374.000	-0.001679	0.001119	-0.000364
236	376.000	-0.001818	0.001347	-0.000338
237	378.000	-0.001944	0.001060	-0.000353
238	380.000	-0.001905	0.000853	-0.000364
239	382.000	-0.001458	0.001241	-0.000347
240	384.000	-0.001685	0.001339	-0.000343
241	386.000	-0.001751	0.001116	-0.000345
242	388.000	-0.001792	0.000958	-0.000346
243	390.000	-0.002162	0.001105	-0.000359
244	392.000	-0.002607	0.001696	-0.000338
245	394.000	-0.002047	0.001090	-0.000345
246	396.000	-0.001750	0.001070	-0.000333
247	398.000	-0.001585	0.000966	-0.000337
248	400.000	-0.001625	0.001092	-0.000330
249	402.000	-0.001926	0.001249	-0.000312
250	404.000	-0.001638	0.001273	-0.000315
251	406.000	-0.002076	0.001498	-0.000309
252	408.000	-0.001906	0.001300	-0.000322
253	410.000	-0.001728	0.007615	-0.000280
254	412.000	-0.001913	0.001970	-0.000327
255	414.000	-0.011789	0.000876	-0.000350
256	416.000	-0.001647	0.001727	-0.000303
257	418.000	-0.001793	0.000965	-0.000347
258	420.000	-0.001925	0.001323	-0.000348
259	422.000	-0.001567	0.001727	-0.000325
260	424.000	-0.002770	0.002045	-0.000342
261	426.000	-0.001704	0.001246	-0.000389
262	428.000	-0.002774	0.001156	-0.000354
263	430.000	-0.001587	0.000976	-0.000364
264	432.000	-0.001936	0.001100	-0.000348
265	434.000	-0.002299	0.001169	-0.000380
266	436.000	-0.001853	0.001247	-0.000377
267	438.000	-0.001768	0.001277	-0.000403
268	440.000	-0.001836	0.001140	-0.000374
269	442.000	-0.002150	0.001098	-0.000412
270	444.000	-0.002308	0.001218	-0.000419
271	446.000	-0.001838	0.001079	-0.000371
