wl,n,k,theta
1e-06,1.126639087,8.511598888,-22.943025212371108
1.005e-06,1.114680776,8.571960874,-22.744602912109183
1.0099999999999999e-06,1.102964941,8.629920722,-22.54686481905533
1.0149999999999998e-06,1.09358083,8.687515124,-22.34960840443878
1.02e-06,1.08727974,8.74843856,-22.152469529643525
1.025e-06,1.081445553,8.809967337,-21.95568706211169
1.0299999999999999e-06,1.071397488,8.867857271,-21.759597899344936
1.0349999999999998e-06,1.061537336,8.920081923,-21.564409395016966
1.04e-06,1.055494597,8.978255334,-21.369085112821647
1.045e-06,1.051806876,9.036830069,-21.17411743398786
1.05e-06,1.043454926,9.083765639,-20.98045989440531
1.0549999999999999e-06,1.036482441,9.148731926,-20.7856217691876
1.06e-06,1.033133204,9.204040646,-20.591981759956386
1.065e-06,1.02747793,9.264432573,-20.398244276139383
1.07e-06,1.025591906,9.318521275,-20.20537834207585
1.0749999999999999e-06,1.024418445,9.373122913,-20.012794388031047
1.08e-06,1.020244607,9.42862127,-19.82042951986767
1.085e-06,1.015304156,9.479917855,-19.6286810232896
1.09e-06,1.014378517,9.5368739,-19.436844880669913
1.0949999999999999e-06,1.011890304,9.593431189,-19.24532844875389
1.1e-06,1.009905005,9.649917519,-19.054118144916615
1.105e-06,1.008451539,9.704482186,-18.86333594643268
1.11e-06,1.005344855,9.750882949,-18.67337655550043
1.115e-06,1.00382405,9.806001363,-18.483107118383277
1.12e-06,1.004294808,9.860152537,-18.293188771617967
1.125e-06,1.003882164,9.917498646,-18.1033272622858
1.1299999999999998e-06,1.003972742,9.968398129,-17.914145468936056
1.135e-06,1.00500573,10.02382345,-17.724941246289216
1.1399999999999999e-06,1.002828586,10.07500199,-17.536233196149514
1.145e-06,1.003941179,10.12708734,-17.347735660511173
1.1499999999999998e-06,1.005317282,10.18335224,-17.159236301990084
1.155e-06,1.003754384,10.23706613,-16.9711145398064
1.16e-06,1.008818757,10.28628773,-16.783523467321984
1.165e-06,1.007932489,10.34146643,-16.595791741496313
1.1699999999999998e-06,1.008357257,10.39215013,-16.408547859819013
1.175e-06,1.012688334,10.44200832,-16.221590745400366
1.18e-06,1.015213183,10.49336256,-16.034760568743476
1.185e-06,1.014759181,10.5517646,-15.847761425071807
1.1899999999999998e-06,1.017683803,10.60545522,-15.661246456351224
1.195e-06,1.01813905,10.65817091,-15.474981314310469
1.2e-06,1.021736807,10.70579031,-15.289193395444885
1.2050000000000001e-06,1.022859293,10.75807795,-15.10336051323248
1.2099999999999998e-06,1.024257787,10.80782605,-14.917852466529014
1.215e-06,1.026450838,10.85926339,-14.732460982935503
1.22e-06,1.029738722,10.9110202,-14.547252153592312
1.2250000000000001e-06,1.035047848,10.96181208,-14.362286822744789
1.2299999999999999e-06,1.038667581,11.01266681,-14.1774967016522
1.235e-06,1.039978895,11.06849385,-13.992656194431344
1.24e-06,1.043389606,11.11569439,-13.808392693424612
1.2450000000000002e-06,1.046657092,11.16984741,-13.623997526078835
1.2499999999999999e-06,1.049913391,11.21616325,-13.440117234809323
1.2549999999999998e-06,1.051297547,11.26655345,-13.25622237985255
1.26e-06,1.056495057,11.31619114,-13.072541785795277
1.2649999999999997e-06,1.057188404,11.36079431,-12.889215360900314
1.27e-06,1.061492702,11.41081797,-12.705837992920243
1.2749999999999999e-06,1.066383574,11.47288865,-12.52213910475239
1.28e-06,1.070500901,11.51937378,-12.339222662075928
1.2849999999999998e-06,1.073080696,11.56250415,-12.156581349678955
1.29e-06,1.078091053,11.61775711,-11.973626329219652
1.2949999999999999e-06,1.081263285,11.66829595,-11.790997504771052
1.3e-06,1.08667656,11.71967858,-11.608491326571013
1.3049999999999998e-06,1.090905752,11.7737027,-11.426028256303526
1.31e-06,1.094227716,11.82020872,-11.24398016187997
1.315e-06,1.097106966,11.86438552,-11.062149236345322
1.32e-06,1.104427092,11.91930196,-10.880082422022378
1.3249999999999998e-06,1.108138114,11.96737106,-10.698381023210574
1.33e-06,1.109282178,12.01542787,-10.51680093140213
1.335e-06,1.112492808,12.06389822,-10.335340155942834
1.34e-06,1.123987022,12.1162431,-10.153899484684693
1.3449999999999998e-06,1.129233973,12.16532652,-9.972673007771922
1.35e-06,1.132981867,12.21775953,-9.791452538360474
1.355e-06,1.135566133,12.26700903,-9.610452560570272
1.4299999999999999e-06,1.20897633,12.99198306,-6.9085809248168
1.435e-06,1.215774284,13.0402495,-6.729202455183709
1.44e-06,1.222359347,13.08984959,-6.5498686387634
1.445e-06,1.225637477,13.13438949,-6.3707380269067
1.4499999999999999e-06,1.232348412,13.19350911,-6.191313813655335
1.455e-06,1.235053048,13.23424936,-6.012429305942428
1.46e-06,1.23989324,13.2825952,-5.8334262232753655
1.465e-06,1.245674136,13.32973008,-5.654525918094455
1.47e-06,1.25590184,13.37524914,-5.475743452832268
1.475e-06,1.252421713,13.42119816,-5.296983740043489
1.48e-06,1.265153644,13.46516297,-5.118372242638218
1.485e-06,1.264792932,13.51960433,-4.939540726225169
1.49e-06,1.275023692,13.56523813,-4.761004806696773
1.495e-06,1.277693673,13.61515704,-4.582409001730893
1.5e-06,1.285699173,13.66027168,-4.4039933650012095
1.5049999999999998e-06,1.290149697,13.70964938,-4.225525410925103
1.51e-06,1.296809948,13.75760575,-4.047147568550988
1.515e-06,1.304059962,13.81378197,-3.8686375443432244
1.5199999999999998e-06,1.313924676,13.8577198,-3.690456377815101
1.5249999999999998e-06,1.31627889,13.90548777,-3.5122204017275855
1.53e-06,1.325289614,13.94978109,-3.334118329640336
1.535e-06,1.332565366,13.9955611,-3.156021974272851
1.5399999999999999e-06,1.338103685,14.0463704,-2.977855210938169
1.5449999999999998e-06,1.342317392,14.08906725,-2.7998968586960893
1.55e-06,1.347399401,14.13278052,-2.6219541965715014
1.555e-06,1.354287918,14.18605286,-2.443851537333405
1.5599999999999999e-06,1.36162657,14.2300396,-2.2659750619333936
1.5649999999999998e-06,1.367953829,14.27204602,-2.0881667408719213
1.57e-06,1.374881699,14.33214219,-1.9100249046396158
1.575e-06,1.374949427,14.37325593,-1.732278800099911
1.58e-06,1.385662006,14.41873986,-1.5544907041254679
1.5849999999999999e-06,1.390425967,14.47146449,-1.3765740644484545
1.59e-06,1.400170689,14.51965833,-1.1987780520986993
1.595e-06,1.39786136,14.56653756,-1.0210055179035715
1.6e-06,1.400984694,14.60865354,-0.8433512512898134
1.6049999999999999e-06,1.402928097,14.65292487,-0.6656695699201411
1.61e-06,1.421414675,14.70647543,-0.4878595990030138
1.615e-06,1.424742484,14.75635087,-0.3101051137153538
1.62e-06,1.436002763,14.82100212,-0.1321095374027047
1.625e-06,1.439358574,14.84862799,0.045221043455601094
1.6299999999999999e-06,1.44609075,14.8956765,0.22288964957140522
1.635e-06,1.447904247,14.94712102,0.40063840477515517
1.6399999999999998e-06,1.45643876,14.99170484,0.5782506153378426
1.645e-06,1.458873135,15.02392461,0.7556577608411806
1.6499999999999999e-06,1.469917493,15.08179888,0.9334949817406701
1.655e-06,1.478177828,15.1223348,1.1110403010414305
1.6599999999999998e-06,1.474977808,15.17582154,1.2888278929146344
1.665e-06,1.477843053,15.23233469,1.4666586417440952
1.6699999999999999e-06,1.462292742,15.2773787,1.6443333587726303
1.675e-06,1.425778483,15.34740513,1.82245513963583
1.6799999999999998e-06,1.427335087,15.38951869,2.0000712183212253
1.685e-06,1.454908413,15.4724516,2.1783119615700097
1.69e-06,1.514176047,15.49621661,2.3555756644129326
1.695e-06,1.555668449,15.53351552,2.5330987481011595
1.6999999999999998e-06,1.584018511,15.55632073,2.7104357080445065
