# wl, theta
 825.22523, -30.08005
 826.12613, -30.04441
 827.02703, -30.00878
 827.92793, -29.97315
 828.82883, -29.93752
 829.72973, -29.90189
 830.63063, -29.86619
 831.53153, -29.83045
 832.43243, -29.79472
 833.33333, -29.75898
 834.23423, -29.72325
 835.13514, -29.68746
 836.03604, -29.65140
 836.93694, -29.61534
 837.83784, -29.57927
 838.73874, -29.54321
 839.63964, -29.50715
 840.54054, -29.47096
 841.44144, -29.43469
 842.34234, -29.39841
 843.24324, -29.36214
 844.14414, -29.32587
 845.04505, -29.28959
 845.94595, -29.25309
 846.84685, -29.21659
 847.74775, -29.18008
 848.64865, -29.14358
 849.54955, -29.10708
 850.45045, -29.07048
 851.35135, -29.03379
 852.25225, -28.99709
 853.15315, -28.96039
 854.05405, -28.92369
 854.95495, -28.88699
 855.85586, -28.84987
 856.75676, -28.81273
 857.65766, -28.77559
 858.55856, -28.73845
 859.45946, -28.70130
 860.36036, -28.66418
 861.26126, -28.62708
 862.16216, -28.58998
 863.06306, -28.55288
 863.96396, -28.51579
 864.86486, -28.47869
 865.76577, -28.44136
 866.66667, -28.40399
 867.56757, -28.36661
 868.46847, -28.32924
 869.36937, -28.29187
 870.27027, -28.25447
 871.17117, -28.21702
 872.07207, -28.17956
 872.97297, -28.14211
 873.87387, -28.10465
 874.77477, -28.06720
 875.67568, -28.02965
 876.57658, -27.99208
 877.47748, -27.95450
 878.37838, -27.91693
 879.27928, -27.87935
 880.18018, -27.84178
 881.08108, -27.80420
 881.98198, -27.76663
 882.88288, -27.72905
 883.78378, -27.69148
 884.68468, -27.65390
 885.58559, -27.61629
 886.48649, -27.57866
 887.38739, -27.54103
 888.28829, -27.50340
 889.18919, -27.46577
 890.09009, -27.42814
 890.99099, -27.39046
 891.89189, -27.35277
 892.79279, -27.31509
 893.69369, -27.27741
 894.59459, -27.23973
 895.49550, -27.20210
 896.39640, -27.16452
 897.29730, -27.12694
 898.19820, -27.08937
 899.09910, -27.05179
 900.00000, -27.01421
 900.90090, -26.97666
 901.80180, -26.93912
 902.70270, -26.90157
 903.60360, -26.86403
 904.50450, -26.82649
 905.40541, -26.78894
 906.30631, -26.75140
 907.20721, -26.71386
 908.10811, -26.67631
 909.00901, -26.63877
 909.90991, -26.60123
 910.81081, -26.56376
 911.71171, -26.52630
 912.61261, -26.48884
 913.51351, -26.45137
 914.41441, -26.41391
 915.31532, -26.37654
 916.21622, -26.33933
 917.11712, -26.30212
 918.01802, -26.26490
 918.91892, -26.22769
 919.81982, -26.19048
 920.72072, -26.15323
 921.62162, -26.11597
 922.52252, -26.07871
