Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_grating_measurement00002
DateTime:      Friday, 09 February 2024, 14:33:06
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_measurement00002\Run00001\result.txt
Dimensions:    2
TotalSteps:    1136
Created:       02/09/2024 14:26
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating 35 deg
Probe 750 nm 7 uW
Pump 400 nm 4.44 mW


Constants:
>	DelayLine [ps]	1.702009

Loops:
>	Repeat: 2 times
>	DelayLine: from -20 to 1000 [ps] in 568 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,2,R,0,1
> DelayLine,ps,3,568,R,-20,1000

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      1.702 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
140	0	146.000	-0.002850	0.000896	-0.000948
141	0	148.000	-0.002615	0.000939	-0.000917
142	0	150.000	-0.003374	0.000893	-0.000891
143	0	152.000	-0.002866	0.001010	-0.000885
144	0	154.000	-0.002629	0.001105	-0.000876
145	0	156.000	-0.003229	0.001025	-0.000912
146	0	158.000	-0.002798	0.001582	-0.000926
147	0	160.000	-0.003490	0.001117	-0.000893
148	0	162.000	-0.002767	0.001366	-0.000928
149	0	164.000	-0.002878	0.001140	-0.000929
150	0	166.000	-0.002912	0.001131	-0.000942
151	0	168.000	-0.003012	0.001287	-0.000933
152	0	170.000	-0.003846	0.000906	-0.000947
153	0	172.000	-0.002945	0.000874	-0.000902
154	0	174.000	-0.002808	0.002561	-0.000894
155	0	176.000	-0.003017	0.001435	-0.000871
156	0	178.000	-0.002433	0.001135	-0.000840
157	0	180.000	-0.002589	0.000782	-0.000860
158	0	182.000	-0.002832	0.001120	-0.000872
159	0	184.000	-0.003438	0.001082	-0.000887
160	0	186.000	-0.003006	0.001035	-0.000881
161	0	188.000	-0.002796	0.001116	-0.000885
162	0	190.000	-0.003227	0.000714	-0.000850
163	0	192.000	-0.002770	0.001312	-0.000824
164	0	194.000	-0.003208	0.001676	-0.000834
165	0	196.000	-0.002797	0.001424	-0.000811
166	0	198.000	-0.003387	0.001563	-0.000828
167	0	200.000	-0.002737	0.001333	-0.000752
168	0	202.000	-0.002635	0.001151	-0.000777
169	0	204.000	-0.002500	0.001109	-0.000723
170	0	206.000	-0.002812	0.001086	-0.000727
171	0	208.000	-0.002314	0.000862	-0.000788
172	0	210.000	-0.002574	0.001439	-0.000772
173	0	212.000	-0.002651	0.001160	-0.000793
174	0	214.000	-0.002584	0.000969	-0.000797
175	0	216.000	-0.002829	0.000931	-0.000796
176	0	218.000	-0.002776	0.000883	-0.000804
177	0	220.000	-0.002778	0.001101	-0.000820
178	0	222.000	-0.002712	0.001228	-0.000826
179	0	224.000	-0.002606	0.001685	-0.000775
180	0	226.000	-0.002516	0.001442	-0.000771
181	0	228.000	-0.002598	0.000958	-0.000742
182	0	230.000	-0.002703	0.001160	-0.000752
183	0	232.000	-0.002385	0.001074	-0.000779
184	0	234.000	-0.003268	0.001177	-0.000755
185	0	236.000	-0.002641	0.001200	-0.000801
186	0	238.000	-0.002448	0.001090	-0.000763
187	0	240.000	-0.002753	0.001334	-0.000835
188	0	242.000	-0.002643	0.001127	-0.000841
189	0	244.000	-0.002481	0.000884	-0.000825
190	0	246.000	-0.002573	0.001397	-0.000810
191	0	248.000	-0.002438	0.001462	-0.000756
192	0	250.000	-0.003580	0.001220	-0.000798
193	0	252.000	-0.002823	0.001250	-0.000785
194	0	254.000	-0.002434	0.001039	-0.000777
195	0	256.000	-0.002419	0.001534	-0.000715
196	0	258.000	-0.002746	0.001007	-0.000732
197	0	260.000	-0.002342	0.001004	-0.000751
198	0	262.000	-0.002800	0.000913	-0.000731
199	0	264.000	-0.002481	0.001327	-0.000783
200	0	266.000	-0.002823	0.001175	-0.000808
201	0	268.000	-0.002663	0.001069	-0.000820
202	0	270.000	-0.002278	0.002966	-0.000746
203	0	272.000	-0.002487	0.001600	-0.000743
204	0	274.000	-0.003175	0.001069	-0.000725
205	0	276.000	-0.002486	0.002580	-0.000694
206	0	278.000	-0.002473	0.001297	-0.000701
207	0	280.000	-0.002346	0.001360	-0.000690
208	0	282.000	-0.002533	0.001235	-0.000675
209	0	284.000	-0.003150	0.001510	-0.000635
210	0	286.000	-0.002229	0.001845	-0.000596
211	0	288.000	-0.002425	0.001014	-0.000638
212	0	290.000	-0.002311	0.001830	-0.000571
213	0	292.000	-0.002271	0.001542	-0.000558
214	0	294.000	-0.002606	0.001397	-0.000565
215	0	296.000	-0.002651	0.002828	-0.000564
216	0	298.000	-0.002433	0.003275	-0.000537
217	0	300.000	-0.002500	0.001698	-0.000581
218	0	302.000	-0.002291	0.001659	-0.000561
219	0	304.000	-0.002077	0.001047	-0.000560
220	0	306.000	-0.002492	0.001539	-0.000543
221	0	308.000	-0.002214	0.001420	-0.000555
222	0	310.000	-0.002658	0.001179	-0.000580
223	0	312.000	-0.002293	0.001196	-0.000571
224	0	314.000	-0.002416	0.000979	-0.000594
225	0	316.000	-0.003177	0.001379	-0.000532
226	0	318.000	-0.005844	0.001512	-0.000530
227	0	320.000	-0.002721	0.001538	-0.000548
228	0	322.000	-0.002755	0.001675	-0.000520
229	0	324.000	-0.002626	0.001586	-0.000479
230	0	326.000	-0.002831	0.001380	-0.000490
231	0	328.000	-0.002189	0.001402	-0.000445
232	0	330.000	-0.001930	0.001345	-0.000457
233	0	332.000	-0.002388	0.002582	-0.000492
234	0	334.000	-0.002603	0.001759	-0.000493
235	0	336.000	-0.002242	0.001504	-0.000492
236	0	338.000	-0.002226	0.001309	-0.000494
237	0	340.000	-0.002996	0.002085	-0.000452
238	0	342.000	-0.002145	0.001427	-0.000436
239	0	344.000	-0.002715	0.001730	-0.000453
240	0	346.000	-0.002414	0.001888	-0.000471
241	0	348.000	-0.002515	0.001307	-0.000437
242	0	350.000	-0.002073	0.001532	-0.000448
243	0	352.000	-0.002123	0.001518	-0.000374
244	0	354.000	-0.002285	0.001641	-0.000389
245	0	356.000	-0.002674	0.001774	-0.000379
246	0	358.000	-0.002259	0.001791	-0.000370
247	0	360.000	-0.002513	0.001297	-0.000343
248	0	362.000	-0.002496	0.003250	-0.000360
249	0	364.000	-0.002173	0.001451	-0.000374
250	0	366.000	-0.002538	0.001733	-0.000344
251	0	368.000	-0.002244	0.001627	-0.000344
252	0	370.000	-0.002730	0.001579	-0.000352
253	0	372.000	-0.002037	0.001995	-0.000314
254	0	374.000	-0.002710	0.002292	-0.000329
255	0	376.000	-0.001983	0.001661	-0.000312
256	0	378.000	-0.001950	0.001757	-0.000276
257	0	380.000	-0.002412	0.001280	-0.000277
258	0	382.000	-0.001937	0.001536	-0.000286
259	0	384.000	-0.002139	0.001582	-0.000297
260	0	386.000	-0.002094	0.001975	-0.000293
261	0	388.000	-0.002145	0.001611	-0.000256
262	0	390.000	-0.002477	0.001833	-0.000255
263	0	392.000	-0.002153	0.001519	-0.000279
264	0	394.000	-0.002184	0.001519	-0.000244
265	0	396.000	-0.001943	0.001525	-0.000275
266	0	398.000	-0.001937	0.002081	-0.000243
267	0	400.000	-0.002126	0.001719	-0.000254
268	0	402.000	-0.002277	0.001649	-0.000240
269	0	404.000	-0.002308	0.001856	-0.000252
270	0	406.000	-0.002071	0.001661	-0.000216
271	0	408.000	-0.002075	0.001534	-0.000253
272	0	410.000	-0.002306	0.001610	-0.000254
273	0	412.000	-0.002026	0.001677	-0.000257
274	0	414.000	-0.002357	0.001330	-0.000205
275	0	416.000	-0.001904	0.001832	-0.000218
276	0	418.000	-0.002079	0.001819	-0.000203
277	0	420.000	-0.002251	0.001579	-0.000231
278	0	422.000	-0.001821	0.001552	-0.000212
279	0	424.000	-0.002588	0.001868	-0.000244
280	0	426.000	-0.002236	0.001478	-0.000285
281	0	428.000	-0.002410	0.001667	-0.000280
282	0	430.000	-0.002578	0.001331	-0.000261
283	0	432.000	-0.002138	0.001278	-0.000273
284	0	434.000	-0.002505	0.001484	-0.000264
285	0	436.000	-0.002097	0.001430	-0.000311
286	0	438.000	-0.001806	0.001553	-0.000284
287	0	440.000	-0.001990	0.001538	-0.000290
288	0	442.000	-0.002167	0.001328	-0.000296
289	0	444.000	-0.002095	0.001546	-0.000336
290	0	446.000	-0.002193	0.001465	-0.000314
291	0	448.000	-0.002029	0.001318	-0.000338
292	0	450.000	-0.002121	0.001236	-0.000319
293	0	452.000	-0.002065	0.001382	-0.000374
294	0	454.000	-0.002250	0.001290	-0.000342
295	0	456.000	-0.002077	0.001367	-0.000367
296	0	458.000	-0.002544	0.001724	-0.000380
297	0	460.000	-0.002377	0.001586	-0.000403
298	0	462.000	-0.002109	0.001923	-0.000396
299	0	464.000	-0.002409	0.001243	-0.000412
300	0	466.000	-0.002107	0.001615	-0.000404
301	0	468.000	-0.002274	0.001340	-0.000447
302	0	470.000	-0.002191	0.001601	-0.000453
303	0	472.000	-0.002314	0.001255	-0.000456
304	0	474.000	-0.002121	0.001252	-0.000512
305	0	476.000	-0.002235	0.002471	-0.000488
306	0	478.000	-0.002243	0.001215	-0.000519
307	0	480.000	-0.002476	0.002740	-0.000548
308	0	482.000	-0.002721	0.001302	-0.000563
309	0	484.000	-0.002400	0.001507	-0.000618
310	0	486.000	-0.002499	0.001672	-0.000589
311	0	488.000	-0.002480	0.001229	-0.000526
312	0	490.000	-0.003377	0.001129	-0.000616
313	0	492.000	-0.002300	0.001396	-0.000564
314	0	494.000	-0.002684	0.001188	-0.000556
315	0	496.000	-0.002916	0.001390	-0.000564
316	0	498.000	-0.003007	0.001430	-0.000602
317	0	500.000	-0.002178	0.001547	-0.000571
318	0	502.000	-0.002396	0.001172	-0.000551
319	0	504.000	-0.002398	0.001668	-0.000581
320	0	506.000	-0.002333	0.001768	-0.000576
321	0	508.000	-0.002327	0.001227	-0.000555
322	0	510.000	-0.002289	0.001996	-0.000601
323	0	512.000	-0.002328	0.001256	-0.000588
324	0	514.000	-0.002640	0.001991	-0.000573
325	0	516.000	-0.002643	0.001324	-0.000632
326	0	518.000	-0.002207	0.001214	-0.000625
327	0	520.000	-0.002227	0.000901	-0.000636
328	0	522.000	-0.002543	0.001394	-0.000613
329	0	524.000	-0.002739	0.001226	-0.000620
330	0	526.000	-0.002455	0.001146	-0.000620
