Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 17:29:15
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00009\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -3 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
228	360.000	-0.000663	0.002903	0.000923
229	362.000	-0.000589	0.002746	0.000934
230	364.000	-0.000669	0.002438	0.001013
231	366.000	-0.001061	0.002627	0.000980
232	368.000	-0.000431	0.002434	0.000986
233	370.000	-0.000765	0.002586	0.001010
234	372.000	-0.000801	0.002700	0.000995
235	374.000	-0.001222	0.002854	0.000944
236	376.000	-0.000411	0.002706	0.000957
237	378.000	-0.000669	0.002566	0.000949
238	380.000	-0.000490	0.002417	0.000963
239	382.000	-0.000599	0.002920	0.000963
240	384.000	-0.000753	0.002757	0.000934
241	386.000	-0.000672	0.002701	0.000976
242	388.000	-0.000742	0.002732	0.001014
243	390.000	-0.000737	0.002431	0.000984
244	392.000	-0.000718	0.002472	0.000940
245	394.000	-0.000696	0.005160	0.000968
246	396.000	-0.000519	0.002851	0.000978
247	398.000	-0.000717	0.002682	0.000929
248	400.000	-0.000735	0.002511	0.000961
249	402.000	-0.000421	0.005714	0.000961
250	404.000	-0.000541	0.002484	0.000959
251	406.000	-0.000707	0.002643	0.000976
252	408.000	-0.000518	0.003366	0.000943
253	410.000	-0.000759	0.002935	0.000932
254	412.000	-0.000742	0.002452	0.000959
255	414.000	-0.000497	0.002761	0.000954
256	416.000	-0.000886	0.002773	0.001007
257	418.000	-0.005623	0.002663	0.000958
258	420.000	-0.000382	0.002781	0.000985
259	422.000	-0.000500	0.002657	0.000973
260	424.000	-0.000545	0.004004	0.001008
261	426.000	-0.000733	0.002835	0.000966
262	428.000	-0.000849	0.002612	0.000924
263	430.000	-0.001063	0.002474	0.000961
264	432.000	-0.000705	0.002492	0.000955
265	434.000	-0.000698	0.002690	0.001012
266	436.000	-0.000619	0.002608	0.001007
267	438.000	-0.001276	0.002802	0.001016
268	440.000	-0.000580	0.002442	0.000974
269	442.000	-0.000733	0.002686	0.000953
270	444.000	-0.002295	0.002902	0.000968
271	446.000	-0.000983	0.003280	0.000959
272	448.000	-0.000392	0.004934	0.000984
273	450.000	-0.000549	0.002769	0.000961
274	452.000	-0.000847	0.002504	0.000939
275	454.000	-0.001033	0.002576	0.000969
276	456.000	-0.000478	0.002899	0.000945
277	458.000	-0.000794	0.002539	0.000929
278	460.000	-0.001020	0.002574	0.000970
279	462.000	-0.001141	0.002795	0.001005
280	464.000	-0.022113	0.002752	0.000969
281	466.000	-0.000760	0.002395	0.000977
282	468.000	-0.000434	0.002430	0.000976
283	470.000	-0.001250	0.003142	0.001007
284	472.000	-0.000522	0.002509	0.001016
285	474.000	-0.000457	0.002753	0.001006
286	476.000	-0.001165	0.002770	0.001008
287	478.000	-0.000537	0.002630	0.001008
288	480.000	-0.000574	0.002526	0.001007
289	482.000	-0.001624	0.002561	0.000984
290	484.000	-0.000818	0.002671	0.000958
291	486.000	-0.001179	0.002733	0.000992
292	488.000	-0.000960	0.002479	0.000916
293	490.000	-0.000798	0.003136	0.000911
294	492.000	-0.001663	0.002545	0.000868
295	494.000	-0.000616	0.002579	0.000910
296	496.000	-0.000831	0.002502	0.000885
297	498.000	-0.000785	0.002703	0.000915
298	500.000	-0.000634	0.002395	0.000892
