Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Tuesday, 11 June 2024, 16:58:50
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00003\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
176	256.000	-0.002909	0.005344	0.001480
177	258.000	-0.002465	0.005867	0.001451
178	260.000	-0.001981	0.004683	0.001444
179	262.000	-0.002964	0.005223	0.001474
180	264.000	-0.002639	0.004987	0.001451
181	266.000	-0.002756	0.005391	0.001480
182	268.000	-0.002401	0.005100	0.001413
183	270.000	-0.001735	0.004862	0.001489
184	272.000	-0.002619	0.005350	0.001472
185	274.000	-0.002017	0.005258	0.001422
186	276.000	-0.001690	0.005449	0.001420
187	278.000	-0.001800	0.004738	0.001478
188	280.000	-0.001919	0.007096	0.001440
189	282.000	-0.002203	0.005165	0.001493
190	284.000	-0.001928	0.005784	0.001441
191	286.000	-0.002177	0.006379	0.001464
192	288.000	-0.001853	0.004873	0.001458
193	290.000	-0.002271	0.006560	0.001429
194	292.000	-0.002249	0.005925	0.001451
195	294.000	-0.002938	0.005045	0.001456
196	296.000	-0.001661	0.005078	0.001465
197	298.000	-0.002214	0.005197	0.001464
198	300.000	-0.002310	0.005120	0.001440
199	302.000	-0.002252	0.005249	0.001437
200	304.000	-0.002534	0.004443	0.001348
201	306.000	-0.002302	0.005022	0.001392
202	308.000	-0.002116	0.005504	0.001426
203	310.000	-0.001759	0.005086	0.001403
204	312.000	-0.002205	0.004980	0.001416
205	314.000	-0.002778	0.005176	0.001450
206	316.000	-0.002274	0.005059	0.001395
207	318.000	-0.003104	0.005737	0.001401
208	320.000	-0.001991	0.004851	0.001451
209	322.000	-0.002961	0.005807	0.001393
210	324.000	-0.002114	0.004834	0.001419
211	326.000	-0.002521	0.004743	0.001375
212	328.000	-0.001746	0.004988	0.001413
213	330.000	-0.002066	0.005114	0.001410
214	332.000	-0.002016	0.005579	0.001333
215	334.000	-0.002075	0.005170	0.001419
216	336.000	-0.002065	0.005216	0.001459
217	338.000	-0.002455	0.005045	0.001389
218	340.000	-0.002078	0.004699	0.001343
219	342.000	-0.001964	0.005744	0.001418
220	344.000	-0.002210	0.005152	0.001304
221	346.000	-0.002744	0.004722	0.001359
222	348.000	-0.002142	0.004800	0.001384
223	350.000	-0.003316	0.004691	0.001386
224	352.000	-0.002567	0.005233	0.001425
225	354.000	-0.002182	0.005463	0.001355
226	356.000	-0.002708	0.004850	0.001360
227	358.000	-0.002318	0.005462	0.001353
228	360.000	-0.002258	0.005431	0.001401
229	362.000	-0.002154	0.004993	0.001377
230	364.000	-0.002968	0.005186	0.001398
231	366.000	-0.002295	0.005384	0.001405
232	368.000	-0.002291	0.005398	0.001371
233	370.000	-0.003488	0.005272	0.001373
234	372.000	-0.002276	0.005074	0.001402
235	374.000	-0.001623	0.006101	0.001436
236	376.000	-0.002192	0.005178	0.001342
237	378.000	-0.002412	0.005271	0.001409
238	380.000	-0.003144	0.005062	0.001406
239	382.000	-0.001985	0.005238	0.001410
240	384.000	-0.002245	0.005931	0.001417
241	386.000	-0.002698	0.004793	0.001392
242	388.000	-0.002774	0.006256	0.001362
243	390.000	-0.001995	0.005099	0.001419
244	392.000	-0.002564	0.005767	0.001420
245	394.000	-0.001869	0.005679	0.001415
246	396.000	-0.003250	0.005295	0.001463
247	398.000	-0.002200	0.005154	0.001442
248	400.000	-0.002062	0.005165	0.001406
249	402.000	-0.002191	0.004997	0.001387
250	404.000	-0.002082	0.008259	0.001435
251	406.000	-0.001584	0.005306	0.001450
252	408.000	-0.002445	0.006005	0.001435
253	410.000	-0.002308	0.004803	0.001401
254	412.000	-0.002599	0.004871	0.001430
255	414.000	-0.002058	0.004955	0.001374
256	416.000	-0.002055	0.005694	0.001429
257	418.000	-0.002546	0.005060	0.001442
258	420.000	-0.001665	0.005161	0.001414
259	422.000	-0.001745	0.005567	0.001463
260	424.000	-0.001718	0.005768	0.001469
261	426.000	-0.001803	0.005023	0.001414
262	428.000	-0.002035	0.004760	0.001472
263	430.000	-0.003263	0.006648	0.001460
264	432.000	-0.001680	0.004729	0.001507
265	434.000	-0.001818	0.005661	0.001474
266	436.000	-0.002581	0.004972	0.001495
267	438.000	-0.002059	0.005152	0.001538
268	440.000	-0.002051	0.004771	0.001475
269	442.000	-0.001841	0.005095	0.001472
270	444.000	-0.002162	0.005357	0.001494
271	446.000	-0.002026	0.005183	0.001459
272	448.000	-0.001625	0.005979	0.001589
273	450.000	-0.001323	0.004540	0.001553
274	452.000	-0.002391	0.005461	0.001519
275	454.000	-0.002583	0.006609	0.001523
276	456.000	-0.004255	0.005021	0.001506
277	458.000	-0.001798	0.004348	0.001495
278	460.000	-0.002229	0.005180	0.001546
279	462.000	-0.001968	0.010098	0.001511
280	464.000	-0.002616	0.005669	0.001567
281	466.000	-0.002303	0.004897	0.001551
282	468.000	-0.002505	0.005646	0.001504
283	470.000	-0.001669	0.005312	0.001516
284	472.000	-0.001704	0.006070	0.001522
285	474.000	-0.001703	0.005417	0.001512
286	476.000	-0.003928	0.005404	0.001546
287	478.000	-0.001909	0.005794	0.001533
288	480.000	-0.002706	0.005042	0.001484
289	482.000	-0.001439	0.005571	0.001548
290	484.000	-0.004538	0.004936	0.001542
291	486.000	-0.001727	0.005052	0.001531
292	488.000	-0.002338	0.005178	0.001493
293	490.000	-0.002143	0.005771	0.001556
294	492.000	-0.002179	0.005577	0.001519
295	494.000	-0.001591	0.005400	0.001564
296	496.000	-0.002184	0.005554	0.001490
297	498.000	-0.002869	0.005303	0.001515
298	500.000	-0.002505	0.005687	0.001554
