Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_transient_grating_measurement00001
DateTime:      Thursday, 04 January 2024, 16:44:51
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_transient_grating_measurement00001\Run00005\result.txt
Dimensions:    2
TotalSteps:    750
Created:       01/04/2024 12:17
Operator:      Jeffrey
Sample:        Sample
Notes:
Flat Al

pump 12.5 mW right arm only

probe 0.08 mW



Constants:
>	DelayLine [ps]	4.000272

Loops:
>	Repeat: 3 times
>	DelayLine: from -20 to 100 [ps] in 250 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,3,R,0,2
> DelayLine,ps,3,250,R,-20,100

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to 32 ps step=1 ps , to 43 ps step=0.2 ps , to 70 ps step=1 ps , to 80 ps step=0.2 ps , to >> step=1 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      4 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
151	0	42.800	-0.001697	0.010283	0.003929
152	0	43.000	-0.000128	0.008840	0.003851
153	0	44.000	-0.000677	0.009255	0.003818
154	0	45.000	-0.001193	0.008766	0.003875
155	0	46.000	-0.001132	0.007662	0.003811
156	0	47.000	-0.000183	0.009286	0.003846
157	0	48.000	0.000624	0.018272	0.003988
158	0	49.000	-0.000479	0.008288	0.003891
159	0	50.000	-0.003074	0.008705	0.003912
160	0	51.000	-0.000289	0.008555	0.003857
161	0	52.000	0.000758	0.010419	0.003932
162	0	53.000	0.000227	0.008553	0.003831
163	0	54.000	0.000243	0.008177	0.003746
164	0	55.000	-0.001726	0.008526	0.003790
165	0	56.000	-0.079615	0.007894	0.003696
166	0	57.000	-0.001114	0.008612	0.003809
167	0	58.000	-0.001363	0.008370	0.003748
168	0	59.000	0.000497	0.007846	0.003793
169	0	60.000	0.000307	0.007628	0.003756
170	0	61.000	-0.001476	0.006415	0.003733
171	0	62.000	0.000287	0.007574	0.003707
172	0	63.000	0.000737	0.008212	0.003720
173	0	64.000	-0.000527	0.008184	0.003853
174	0	65.000	-0.059857	0.008479	0.003793
175	0	66.000	0.000173	0.008572	0.003698
176	0	67.000	-0.000809	0.014844	0.003618
177	0	68.000	-0.001600	0.008807	0.003636
178	0	69.000	-0.003369	0.007442	0.003678
179	0	70.000	-0.001059	0.007869	0.003662
180	0	70.200	-0.000220	0.007794	0.003538
181	0	70.400	-0.000312	0.007117	0.003606
182	0	70.600	-0.000086	0.007046	0.003545
183	0	70.800	-0.001547	0.007984	0.003686
184	0	71.000	-0.000638	0.009244	0.003665
185	0	71.200	-0.000887	0.007845	0.003711
186	0	71.400	-0.000331	0.007451	0.003538
187	0	71.600	-0.000357	0.007671	0.003548
